source_id,source_name,tier,country_market,source_type,access_method,api_availability,current_access_status,legal_tos_status,existing_adapter,adapter_gap,priority,notes
src-ticketmaster,Ticketmaster Developer API,2,Global / Indonesia,TICKETING_PLATFORM,AUTHORIZED_API,OFFICIAL_REST_API,REQUIRES_CREDENTIALS,GREEN_AUTHORIZED,TicketmasterAdapter,Coded: requires TICKETMASTER_API_KEY env var,P1,Discovery API v2 for international tours
src-tiket-com,tiket.com,2,Indonesia (National),OFFICIAL_TICKETING_PLATFORM,AUTHORIZED_API,PARTNER_FEED_API,READY_PASSIVE,YELLOW_CONDITIONAL,TiketComAdapter,Coded: requires TIKET_COM_FEED_URL env var,P1,Commercial ticketing platform; robots disallows non-partner scrape
src-loket,LOKET,2,Indonesia (National),OFFICIAL_TICKETING_PLATFORM,AUTHORIZED_API,PARTNER_FEED_API,READY_PASSIVE,YELLOW_CONDITIONAL,LoketAdapter,Coded: requires LOKET_FEED_URL env var,P1,Commercial ticketing platform; robots disallows non-partner scrape
src-goers,GOERS App,2,Indonesia (National),OFFICIAL_TICKETING_PLATFORM,AUTHORIZED_API,PARTNER_FEED_API,READY_PASSIVE,YELLOW_CONDITIONAL,GoersAdapter,Coded: requires GOERS_FEED_URL env var,P1,Commercial ticketing platform; robots disallows non-partner scrape
src-disc-bandsintown,Bandsintown API,2,Indonesia (National),EVENT_DISCOVERY_API,AUTHORIZED_API,OFFICIAL_REST_API,READY_PASSIVE,GREEN_AUTHORIZED,EventSourceAdapter,Requires dedicated Bandsintown adapter subclass,P1,Licensed tour discovery database
src-livenation,Live Nation Global Tours,1,International / Indonesia,OFFICIAL_PROMOTER,MANUAL_REVIEW,PRESS_RELEASES,MANUAL_ONLY,GREEN_AUTHORIZED,LiveNationAdapter,Requires official press release manual ingestion,P1,International tour promoter public announcements
src-gov-kemenparekraf,Kemenparekraf Kharisma Event,2,Indonesia (National),GOVERNMENT,PUBLIC_DISCOVERY_ONLY,OPEN_DATA_CALENDAR,PENDING_REVIEW,YELLOW_CONDITIONAL,EventSourceAdapter,Requires public tourism calendar parser,P2,Government tourism board event schedule
src-promoter-social-signal,Verified Official Promoter Socials,3,Indonesia (National),PROMOTER_OFFICIAL_SOCIAL,MANUAL_REVIEW,GRAPH_API_OR_MANUAL,MANUAL_ONLY,YELLOW_CONDITIONAL,SocialDiscoveryAdapter,Scraping prohibited by Meta ToS; manual signal only,P2,Tier 3 discovery signals; cannot solely establish verification
src-carousell-resale,Carousell Resale Listings,N/A,Indonesia,RESALE_FORUM,NOT_ALLOWED,NONE,BLOCKED,RED_PROHIBITED,None,Prohibited by policy: zero scraping adapter,PROHIBITED,Secondary resale forum strictly prohibited
src-twitter-scalpers,Twitter / X Jual Tiket Feeds,N/A,Indonesia,SOCIAL_SCALPER,NOT_ALLOWED,NONE,BLOCKED,RED_PROHIBITED,None,Prohibited by policy: zero scraping adapter,PROHIBITED,Social scalper signals strictly prohibited
src-viagogo,Viagogo Secondary Marketplace,N/A,Global,SECONDARY_MARKETPLACE,NOT_ALLOWED,NONE,BLOCKED,RED_PROHIBITED,None,Prohibited by policy: zero scraping adapter,PROHIBITED,Secondary marketplace strictly prohibited
